session_id,timestamp,user_id,surface,device,country,position,item_id,artist_id,style,price,margin,freshness,availability,logging_policy_score,popularity_score_pre,affinity_score,examined,clicked,dwell_seconds,saved,add_to_cart,purchased_immediate,not_interested,not_interested_reason,segment,budget_mean,price_sensitivity,novelty_preference,repeat_tolerance,activity_level,conversion_propensity,save_propensity,preferred_styles,preferred_style_count,tag_count,has_blue_tag,has_nature_tag,hour,day_of_week,is_weekend,top_3_position,top_5_position,dwell_log1p,price_gap_ratio,price_above_budget,margin_to_price,user_item_seen_before,user_artist_seen_before,user_style_seen_before,user_item_not_interested_before,user_artist_not_interested_before,user_style_not_interested_before,session_rank_inverse
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,19,item_0066,artist_014,abstract,173.4,76.9,0.5978,1,0.1,0.1049,1.0646,1,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,4,0,1,8,3,0,0,0,0.0,-0.5415781866620092,0,0.4434832756632065,0,0,0,0,0,0,0.05
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,0,item_0073,artist_005,portrait,172.12,77.63,0.2548,1,0.95,0.0533,2.1564,1,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,2,0,0,8,3,0,1,1,0.0,-0.544962153911563,0,0.45102254241227047,0,0,0,0,0,0,1.0
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,1,item_0059,artist_002,surrealism,215.76,86.48,0.4844,1,0.7935,0.2161,1.9442,0,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,2,0,0,8,3,0,1,1,0.0,-0.4295900204970883,0,0.40081572117167225,0,0,0,0,0,0,0.5
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,2,item_0012,artist_012,abstract,347.35,196.56,0.3826,1,0.6628,0.1382,1.9302,0,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,2,1,0,8,3,0,1,1,0.0,-0.08170232489647564,0,0.5658845544839499,0,0,1,0,0,0,0.3333333333333333
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,3,item_0153,artist_013,contemporary,331.05,187.49,0.4328,1,0.5536,0.0466,1.4984,0,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,2,1,0,8,3,0,0,1,0.0,-0.1247950328400123,0,0.5663494940341338,0,0,0,0,0,0,0.25
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,4,item_0109,artist_005,surrealism,155.17,67.79,0.2237,1,0.4624,0.1038,1.5061,0,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,4,0,1,8,3,0,0,1,0.0,-0.5897732827240136,0,0.4368756847328737,0,1,1,0,0,0,0.2
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,5,item_0135,artist_030,surrealism,65.32,29.67,0.6379,1,0.3862,0.1367,1.4088,0,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,3,0,0,8,3,0,0,0,0.0,-0.8273119212962079,0,0.4542253521126761,0,0,2,0,0,0,0.16666666666666666
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,6,item_0051,artist_028,surrealism,352.89,153.61,0.6109,1,0.3226,0.1345,1.3932,1,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,4,1,1,8,3,0,0,0,0.0,-0.06705609164450071,0,0.43529145059366947,0,0,3,0,0,0,0.14285714285714285
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,7,item_0142,artist_033,contemporary,138.32,34.32,0.8186,1,0.2695,0.1152,1.3485,0,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,2,0,0,8,3,0,0,0,0.0,-0.6343200390950929,0,0.2481203007518797,0,0,1,0,0,0,0.125
session_000035,2026-01-01 08:04:00,user_0056,home_feed,ios,GB,8,item_0006,artist_006,surrealism,230.86,96.83,0.5606,1,0.2251,0.0956,1.3409,0,0,0,0,0,0,0,none,trend_seeker,378.25425177172696,0.7203504567497274,0.7576859473575235,0.34445228808397454,0.7543919309040223,0.34512132248860417,0.4636403398391884,modern|portrait,2,2,0,1,8,3,0,0,0,0.0,-0.3896697818500083,0,0.4194316902018539,0,0,4,0,0,0,0.1111111111111111
